,,Total,2165,DIV 4,,,,,,DIV 7,,,,,,DIV 14,,,,,,DIV 21,,,,,,DIV 28,,,,,
Q8BTV2,Cleavage and polyadenylation specificity factor subunit 7,Cpsf7,,1,0.5,0.5,2,1,0.5,7,1,0.5,0.5,2,1,2,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,1
P97742,"Carnitine O-palmitoyltransferase 1, liver isoform",Cpt1a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,2,2,0.5,0.5,0.5,0.5,2,1,0.5,1
Q80YA8,Protein crumbs homolog 2,Crb2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,4,0.5,0.5,0.5,9,0.5,3,0.5,0.5
Q9DCT8,Cysteine-rich protein 2,Crip2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
P97427,Dihydropyrimidinase-related protein 1,Crmp1,,4,0.5,2,2,4,4,3,4,8,9,5,5,15,17,5,11,12,7,5,10,21,10,14,8,15,2,6,4,4,5
Q8R555,Cartilage acidic protein 1,Crtac1,,0.5,1,0.5,2,0.5,6,0.5,8,0.5,15,0.5,6,0.5,13,0.5,9,0.5,14,0.5,14,0.5,11,0.5,17,0.5,14,0.5,11,0.5,8
P23927,Alpha-crystallin B chain,Cryab,,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,0.5,0.5,1,0.5,2,1,0.5,0.5,3,1,8,8,4,3
O54983,Ketimine reductase mu-crystallin,Crym,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,3,2,1,1,0.5,0.5,2,0.5,1,0.5,3,2,2,2,0.5,0.5,2,0.5,0.5,0.5
Q9CZU6,"Citrate synthase, mitochondrial",Cs,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,4,10,0.5,0.5,0.5,0.5,2,8,0.5,0.5,1,0.5,1,0.5,6,2,10,7
Q9ERK4,Exportin-2,Cse1l,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q923L3,CUB and sushi domain-containing protein 1,Csmd1,,0.5,0.5,0.5,0.5,0.5,5,0.5,17,0.5,29,0.5,8,0.5,33,0.5,25,0.5,37,0.5,35,0.5,23,0.5,37,0.5,23,0.5,27,0.5,29
Q80T79,CUB and sushi domain-containing protein 3,Csmd3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,0.5,8,0.5,2,0.5,18,0.5,13,0.5,24,0.5,16,0.5,9,0.5,14,0.5,9,0.5,10,0.5,9
Q60737,Casein kinase II subunit alpha,Csnk2a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,1,0.5,0.5,0.5,5,0.5,3,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
O54833,Casein kinase II subunit alpha',Csnk2a2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P67871,Casein kinase II subunit beta,Csnk2b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,4,0.5,1,1,3,0.5,2,0.5,1,0.5,3,1,1,0.5,1,0.5,0.5,0.5,1,0.5,2
Q8VHY0,Chondroitin sulfate proteoglycan 4,Cspg4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,9,0.5,15,0.5,14,0.5,12,0.5,11,0.5,31,0.5,10,0.5,32,3,29
Q71M36,Chondroitin sulfate proteoglycan 5,Cspg5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,4,0.5,3
B2RX88,Centrosome and spindle pole associated protein 1,Cspp1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,1,2,0.5,0.5,1,1,3,1,0.5,0.5,1,3,1,1,0.5,1
P09793,Cytotoxic T-lymphocyte protein 4,Ctla4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P26231,Catenin alpha-1,Ctnna1,,0.5,3,0.5,2,0.5,4,0.5,7,0.5,8,0.5,4,0.5,12,1,9,0.5,8,0.5,10,0.5,11,0.5,10,0.5,7,0.5,8,0.5,5
Q61301,Catenin alpha-2,Ctnna2,,0.5,24,0.5,23,0.5,34,0.5,54,0.5,49,0.5,33,0.5,70,1,49,0.5,40,0.5,52,0.5,53,0.5,57,0.5,48,1,43,0.5,26
Q02248,Catenin beta-1,Ctnnb1,,0.5,17,0.5,20,0.5,26,2,79,0.5,46,0.5,27,6,84,8,85,1,73,0.5,133,2,173,0.5,54,4,113,5,75,0.5,51
Q9CWL8,Beta-catenin-like protein 1,Ctnnbl1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P30999,Catenin delta-1,Ctnnd1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35927,Catenin delta-2,Ctnnd2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,4,1,6,1,3,0.5,4,0.5,4,0.5,1,0.5,3,0.5,3,0.5,0.5
P70698,CTP synthase 1,Ctps1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q62018,RNA polymerase-associated protein CTR9 homolog,Ctr9,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P10605,Cathepsin B,Ctsb,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,0.5,0.5
Q9WTX6,Cullin-1,Cul1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9DBF7,Pre-mRNA-splicing factor CWC25 homolog,Cwc25,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P97792,Coxsackievirus and adenovirus receptor homolog,Cxadr,,0.5,12,0.5,12,0.5,15,0.5,30,0.5,21,0.5,18,0.5,31,1,25,0.5,22,0.5,16,0.5,40,0.5,13,0.5,17,0.5,9,0.5,8
P40224,Stromal cell-derived factor 1,Cxcl12,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9DCN2,NADH-cytochrome b5 reductase 3,Cyb5r3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,4,3,0.5,0.5,0.5,0.5,2,2,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P62897,"Cytochrome c, somatic",Cycs,,0.5,0.5,0.5,0.5,0.5,0.5,2,1,0.5,0.5,0.5,0.5,7,2,0.5,0.5,1,0.5,5,4,1,0.5,3,1,1,0.5,2,0.5,3,4
Q7TMB8,Cytoplasmic FMR1-interacting protein 1,Cyfip1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,2,0.5,1,1,7,1,5,0.5,7,1,9,1,4,0.5,6,2,3,2,10,0.5,5
Q5SQX6,Cytoplasmic FMR1-interacting protein 2,Cyfip2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,0.5,3,0.5,1,2,14,2,7,0.5,9,1,14,1,8,0.5,12,1,3,2,9,0.5,6
P18406,Protein CYR61,Cyr61,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,2,#N/A,#N/A,#N/A,#N/A,1,0.5,2,1,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9D172,"ES1 protein homolog, mitochondrial",D10Jhu81e,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,0.5,0.5,1,0.5,2,1
Q62165,Dystroglycan,Dag1,,0.5,2,0.5,2,0.5,5,0.5,8,0.5,8,0.5,6,0.5,9,0.5,13,0.5,7,0.5,16,0.5,6,0.5,8,0.5,10,0.5,13,0.5,8
Q922B2,"Aspartate--tRNA ligase, cytoplasmic",Dars,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,3,2,1,1,1,2,1,3,4,2,0.5,1,1,1,2,1,0.5,0.5
Q9JII5,DAZ-associated protein 1,Dazap1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9QXS6,Drebrin,Dbn1,,1,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,3,0.5,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5
P53395,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",Dbt,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,1,0.5,0.5,12,2,4,0.5,0.5,1,3,0.5,1,1,1,0.5
Q8BHC4,Dephospho-CoA kinase domain-containing protein,Dcakd,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q91ZV3,"Discoidin, CUB and LCCL domain-containing protein 2",Dcbld2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,5,0.5,6,0.5,4,0.5,4,0.5,5,0.5,4,0.5,8,0.5,6,0.5,3
P70211,Netrin receptor DCC,Dcc,,0.5,7,0.5,5,0.5,25,0.5,25,0.5,30,0.5,21,0.5,30,0.5,22,0.5,33,0.5,25,0.5,21,0.5,44,0.5,27,0.5,28,0.5,25
E9PVD3,Protocadherin-16,Dchs1,,0.5,4,0.5,5,1,12,2,26,1,13,0.5,10,2,10,7,33,0.5,8,0.5,23,4,23,0.5,9,7,28,5,28,3,15
Q9JLM8,Serine/threonine-protein kinase DCLK1,Dclk1,,2,1,2,3,2,2,6,4,3,2,5,4,8,7,5,2,5,6,4,4,6,5,4,2,3,2,6,5,4,3
Q6PGN3,Serine/threonine-protein kinase DCLK2,Dclk2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A,3,3,2,2,2,2,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P28654,Decorin,Dcn,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,2,1,8,0.5,1,0.5,0.5,0.5,5,0.5,0.5,0.5,4,0.5,0.5,0.5,0.5
O08788,Dynactin subunit 1,Dctn1,,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,3,2,0.5,1,3,5,2,0.5,1,0.5,1,0.5,2,0.5,1,0.5,0.5,0.5
Q9QZB9,Dynactin subunit 5,Dctn5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
O88809,Neuronal migration protein doublecortin,Dcx,,6,3,5,7,9,7,9,8,6,3,7,4,8,9,5,7,8,7,1,1,3,1,2,0.5,0.5,0.5,2,2,1,1
Q99LD8,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",Ddah2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q03146,Epithelial discoidin domain-containing receptor 1,Ddr1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,0.5,2,0.5,1,0.5,10,0.5,13,0.5,2,0.5,17,0.5,11,0.5,4,0.5,13,0.5,18,0.5,6
Q62371,Discoidin domain-containing receptor 2,Ddr2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q91VR5,ATP-dependent RNA helicase DDX1,Ddx1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,2,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q501J6,Probable ATP-dependent RNA helicase DDX17,Ddx17,,8,0.5,6,6,2,2,6,5,7,3,7,7,6,5,2,1,5,3,5,3,9,4,4,1,4,2,5,1,2,1
Q9JIK5,Nucleolar RNA helicase 2,Ddx21,,0.5,0.5,0.5,0.5,0.5,0.5,3,2,2,0.5,8,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q9Z1N5,Spliceosome RNA helicase Ddx39b,Ddx39b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A,1,1,0.5,1,3,1,0.5,0.5,0.5,1,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q62167,ATP-dependent RNA helicase DDX3X,Ddx3x,,7,3,4,4,8,4,8,5,13,5,5,5,10,7,9,5,16,11,9,7,19,14,7,0.5,12,5,16,6,8,4
Q569Z5,Probable ATP-dependent RNA helicase DDX46,Ddx46,,17,6,12,15,21,16,67,40,15,8,22,15,27,17,36,35,30,20,21,20,42,25,23,14,39,23,42,26,26,19
Q61656,Probable ATP-dependent RNA helicase DDX5,Ddx5,,5,0.5,2,4,2,1,7,6,4,1,5,5,5,5,4,2,5,4,5,4,7,2,4,0.5,3,1,2,2,2,0.5
P54823,Probable ATP-dependent RNA helicase DDX6,Ddx6,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q9CQ62,"2,4-dienoyl-CoA reductase, mitochondrial",Decr1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,2,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5
Q7TNV0,Protein DEK,Dek,,4,2,4,4,2,2,8,6,3,2,2,3,1,2,1,4,1,1,1,1,1,1,2,0.5,1,1,2,1,1,1
Q9CQJ6,Density-regulated protein,Denr,,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5
O88455,7-dehydrocholesterol reductase,Dhcr7,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q99L04,Dehydrogenase/reductase SDR family member 1,Dhrs1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,,1,0.5,1,3,1,0.5,4,3,1,0.5,4,0.5,4,1,1,2,0.5,1,0.5,1,3,2,0.5,0.5,1,0.5,4,1,0.5,0.5
Q8BZS9,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,Dhx32,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6PE54,Probable ATP-dependent RNA helicase DHX40,Dhx40,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,,0.5,0.5,0.5,1,0.5,0.5,2,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
O70133,ATP-dependent RNA helicase A,Dhx9,,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,1,4,0.5,5,2,4,0.5,7,0.5,2,1,4,3,1,0.5,3,0.5,6,0.5,0.5,0.5
O08808,Protein diaphanous homolog 1,Diaph1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q3UH60,Disco-interacting protein 2 homolog B,Dip2b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,0.5,1,0.5,0.5,0.5,1,0.5,3,0.5,3,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1
Q5PR73,GTP-binding protein Di-Ras2,Diras2,,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,1,2,2,1,0.5,1,0.5,2,2,0.5,0.5,0.5,1
Q9ESX5,H/ACA ribonucleoprotein complex subunit 4,Dkc1,,2,0.5,0.5,0.5,1,1,4,3,1,1,2,1,1,0.5,2,1,3,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1
Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Dlat,,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,4,2,1,2,0.5,1,3,1,5,4,6,4,4,2,4,5,7,7
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial",Dld,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,0.5,0.5,2,0.5
Q62108,Disks large homolog 4,Dlg4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,1,0.5,5,0.5,0.5,0.5,0.5,0.5,0.5
Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Dlst,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0.5,4,3,4,1,2,3,5,2,4,4,5,4
P63037,DnaJ homolog subfamily A member 1,Dnaja1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,1,0.5,3,1,1,0.5,1,0.5,3,0.5,2,1,1,1,2,1,0.5,2,1,0.5,0.5
Q9QYJ0,DnaJ homolog subfamily A member 2,Dnaja2,,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,1,0.5,1,0.5,0.5,0.5,2,0.5,1,0.5,2,0.5,0.5,1,0.5,0.5,1,1,1,0.5,0.5
O54946,DnaJ homolog subfamily B member 6,Dnajb6,,3,3,3,2,2,3,1,0.5,4,3,2,3,2,1,0.5,0.5,3,0.5,2,0.5,1,0.5,2,0.5,0.5,0.5,3,2,1,1
Q9DC23,DnaJ homolog subfamily C member 10,Dnajc10,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q5U458,DnaJ homolog subfamily C member 11,Dnajc11,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
P60904,DnaJ homolog subfamily C member 5,Dnajc5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,2,1,3
Q8JZM4,Delta and Notch-like epidermal growth factor-related receptor,Dner,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P39053,Dynamin-1,Dnm1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,0.5,0.5,0.5,0.5,0.5,2,2,1,8,2,3,1,6,2,2,7
Q8K1M6,Dynamin-1-like protein,Dnm1l,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5
P39054,Dynamin-2,Dnm2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,1,0.5,0.5,0.5,0.5,0.5,1,1,2,#N/A,#N/A,2,1,#N/A,#N/A,#N/A,#N/A
Q9Z2W0,Aspartyl aminopeptidase,Dnpep,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
P59764,Dedicator of cytokinesis protein 4,Dock4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O70152,Dolichol-phosphate mannosyltransferase subunit 1,Dpm1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6NXK7,Inactive dipeptidyl peptidase 10,Dpp10,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,5,0.5,2,0.5,2,0.5,3,0.5,2,0.5,2
Q99KK7,Dipeptidyl peptidase 3,Dpp3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9Z218,Dipeptidyl aminopeptidase-like protein 6,Dpp6,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,6,0.5,3,0.5,1,0.5,3,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,3
Q8CHR6,Dihydropyrimidine dehydrogenase [NADP(+)],Dpyd,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
O08553,Dihydropyrimidinase-related protein 2,Dpysl2,,6,1,5,2,3,3,8,12,10,5,8,8,15,19,10,13,14,12,10,16,20,13,14,9,18,4,10,9,7,13
Q62188,Dihydropyrimidinase-related protein 3,Dpysl3,,1,0.5,3,1,1,5,3,3,6,6,3,4,15,12,2,4,11,5,7,9,8,6,5,3,15,2,2,3,4,3
Q9EQF6,Dihydropyrimidinase-related protein 5,Dpysl5,,0.5,0.5,0.5,0.5,0.5,0.5,1,2,1,0.5,0.5,0.5,3,6,3,0.5,2,1,2,3,5,2,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Q9D6N5,Dr1-associated corepressor,Drap1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
